City,Category,Jaccard,b1_stars,b2_stars,b1_rev,b2_rev
Philadelphia,Restaurants,0.019138755980861243,4.0,3.5,217,209
Philadelphia,Restaurants,0.007454739084132056,4.0,4.0,217,729
Philadelphia,Restaurants,0.011441647597254004,4.0,3.0,217,225
Philadelphia,Restaurants,0.01696969696969697,4.0,4.0,217,622
Philadelphia,Restaurants,0.035555555555555556,4.0,4.0,217,249
Philadelphia,Restaurants,0.013761467889908258,4.0,3.5,217,446
Philadelphia,Restaurants,0.02056555269922879,4.0,3.5,217,180
Philadelphia,Restaurants,0.016181229773462782,4.0,3.5,217,97
Philadelphia,Restaurants,0.024844720496894408,4.0,3.5,217,113
Philadelphia,Restaurants,0.012534818941504178,4.0,4.5,217,510
Philadelphia,Restaurants,0.021442495126705652,4.0,3.5,217,307
Philadelphia,Restaurants,0.015151515151515152,4.0,3.5,217,453
Philadelphia,Restaurants,0.01366120218579235,4.0,4.0,217,154
Philadelphia,Restaurants,0.011061946902654867,4.0,4.0,217,240
Philadelphia,Restaurants,0.015701668302257114,4.0,4.0,217,818
Philadelphia,Restaurants,0.012027491408934709,4.0,4.5,217,372
Philadelphia,Restaurants,0.008289374529012811,4.0,4.5,217,1121
Philadelphia,Restaurants,0.010895883777239709,4.0,4.0,217,618
Philadelphia,Restaurants,0.005780346820809248,4.0,3.5,217,653
Philadelphia,Restaurants,0.0175054704595186,4.0,4.5,217,248
Philadelphia,Restaurants,0.01440922190201729,4.0,4.5,217,135
Philadelphia,Restaurants,0.014947683109118086,4.0,3.5,217,1141
Philadelphia,Restaurants,0.010380622837370242,4.0,3.5,217,367
Philadelphia,Restaurants,0.013414634146341463,4.0,4.0,217,614
Philadelphia,Restaurants,0.006024096385542169,4.0,3.5,217,618
Philadelphia,Restaurants,0.01006036217303823,4.0,3.5,217,787
Philadelphia,Restaurants,0.02009273570324575,4.0,3.5,217,443
Philadelphia,Restaurants,0.009878419452887538,4.0,3.5,217,1112
Philadelphia,Restaurants,0.012422360248447204,4.0,4.0,166,323
Philadelphia,Restaurants,0.005296610169491525,4.0,4.0,166,783
Philadelphia,Restaurants,0.012658227848101266,4.0,4.0,166,234
Philadelphia,Restaurants,0.01034928848641656,4.0,3.5,166,615
Philadelphia,Restaurants,0.016605166051660517,4.0,3.5,166,385
Philadelphia,Restaurants,0.009485094850948509,4.0,4.5,166,579
Philadelphia,Restaurants,0.016260162601626018,4.0,3.5,166,209
Philadelphia,Restaurants,0.007882882882882882,4.0,4.0,166,729
Philadelphia,Restaurants,0.012953367875647668,4.0,3.0,166,225
Philadelphia,Restaurants,0.01808785529715762,4.0,4.0,166,622
Philadelphia,Restaurants,0.007451564828614009,4.0,4.5,166,510
Philadelphia,Restaurants,0.009787928221859706,4.0,3.5,166,453
Philadelphia,Restaurants,0.01652892561983471,4.0,4.0,166,818
Philadelphia,Restaurants,0.008426966292134831,4.0,4.0,166,552
Philadelphia,Restaurants,0.011278195488721804,4.0,4.5,166,372
Philadelphia,Restaurants,0.00468384074941452,4.0,4.5,166,1121
Philadelphia,Restaurants,0.010309278350515464,4.0,4.0,166,618
Philadelphia,Restaurants,0.007380073800738007,4.0,3.5,166,653
